Price,Sold,Cluster
399945,3,3
399000,21,3
385000,10,3
385000,7,3
385000,13,3
375000,12,3
363000,38,3
358000,0,3
356400,38,3
350000,1,3
350000,1,3
349000,3,3
349000,13,3
340000,36,3
339500,6,3
332969,28,3
330000,15,3
330000,94,3
329000,6,3
325000,45,3
316000,30,3
315000,243,3
309998,1,3
296400,32,3
296400,26,3
280000,0,3
275000,0,3
274694,0,3
274000,41,3
270000,98,3
270000,1,3
270000,29,3
270000,8,3
270000,5,3
266475,137,3
265900,18,3
265000,37,3
265000,5,3
258000,7,3
255900,1,3
255000,29,3
253000,5,3
250000,1,3
250000,0,3
250000,4,3
250000,0,3
249900,3,3
249900,1,3
248500,55,3
245000,4,3
240100,293,3
240000,67,3
240000,43,3
239998,258,3
237000,47,3
235000,90,3
230000,241,3
230000,13,3
230000,5,3
227000,53,3
225000,43,1
225000,0,1
224000,11,1
220000,5,1
220000,0,1
218500,71,1
215000,4,1
207000,403,1
206150,104,1
200000,111,1
200000,438,1
200000,8,1
200000,8,1
200000,4,1
200000,2,1
200000,7,1
200000,2,1
200000,86,1
200000,14,1
200000,27,1
199900,13,1
198550,39,1
195000,706,1
195000,4,1
195000,6,1
195000,44,1
195000,0,1
195000,2,1
192200,50,1
192000,17,1
190000,57,1
185000,198,1
185000,15,1
185000,5,1
185000,16,1
184500,6,1
180500,1,1
180000,53,1
180000,22,1
179000,106,1
176000,7,1
172500,23,1
170000,8,1
170000,20,1
170000,16,1
170000,114,1
170000,1,1
169000,10,1
166030,2,1
165900,32,1
160000,7,1
160000,36,1
158000,551,1
156000,11,1
155000,190,1
155000,32,1
155000,0,1
155000,10,1
155000,25,1
154000,13,1
153000,28,1
152000,90,1
151500,6,1
150000,1,1
150000,3,1
150000,0,1
150000,1,1
149999,37,1
149900,4,1
149900,0,1
145999,122,1
145000,366,1
145000,11,1
145000,8,1
145000,6,1
145000,1,1
144500,14,1
144490,5,1
144097,211,1
144097,9,1
144097,9,1
143998,582,1
142500,8,1
142000,41,1
140000,50,1
140000,5,1
140000,0,1
139999,122,1
139000,85,1
139000,25,1
138000,722,1
135000,11,1
135000,9,1
135000,13,1
135000,4,1
135000,19,1
133475,173,1
132500,0,1
132475,1,1
130000,118,1
130000,0,1
130000,11,1
130000,5,1
130000,6,1
130000,0,1
130000,151,1
130000,15,1
128000,2,1
125910,702,1
125500,154,1
125000,32,1
125000,36,1
125000,8,1
125000,9,1
124000,0,1
120000,0,1
120000,2,1
120000,0,1
120000,95,1
120000,0,1
120000,3,1
120000,7,1
120000,2,1
118450,223,1
118000,279,1
118000,8,1
117000,3,1
115000,52,2
115000,10,2
115000,66,2
115000,49,2
115000,15,2
115000,4,2
114800,1,2
112000,338,2
110500,590,2
110000,189,2
110000,487,2
110000,481,2
110000,228,2
110000,287,2
110000,108,2
110000,16,2
110000,3,2
109998,65,2
109900,0,2
108990,191,2
108800,66,2
108000,3296,2
107000,81,2
105000,75,2
105000,531,2
105000,11,2
105000,536,2
105000,123,2
105000,37,2
104704,285,2
104400,3,2
104000,56,2
103000,169,2
103000,158,2
103000,13,2
103000,1,2
102000,274,2
102000,107,2
101650,33,2
101500,118,2
100000,35,2
100000,30,2
100000,1,2
100000,8,2
100000,316,2
100000,38,2
100000,45,2
100000,4,2
100000,155,2
100000,4,2
100000,44,2
100000,11,2
100000,12,2
100000,6,2
100000,28,2
100000,1222,2
100000,0,2
100000,1,2
100000,1,2
100000,45,2
100000,2,2
100000,14,2
99900,0,2
99297,17,2
99297,9,2
99000,8,2
99000,3,2
99000,0,2
99000,4,2
98000,21,2
98000,9,2
98000,4,2
97000,246,2
97000,31,2
96900,106,2
96900,38,2
96500,13,2
96500,2,2
96500,5,2
96000,55,2
96000,5,2
96000,5,2
96000,23,2
95000,335,2
95000,60,2
95000,344,2
95000,41,2
95000,13,2
95000,30,2
95000,12,2
95000,36,2
95000,19,2
95000,3,2
94975,124,2
94500,3,2
94000,44,2
93500,1363,2
93437,101,2
93240,45,2
93000,375,2
93000,52,2
92600,29,2
92500,68,2
92000,219,2
92000,11,2
92000,6,2
92000,2,2
91400,21,2
90990,630,2
90000,18,2
90000,88,2
90000,49,2
90000,20,2
90000,28,2
90000,7,2
90000,86,2
90000,21,2
90000,20,2
90000,32,2
90000,97,2
90000,21,2
90000,7,2
90000,11,2
89998,655,2
89900,0,2
89750,1398,2
89500,790,2
89500,51,2
89500,23,2
89500,5,2
89500,6,2
89500,7,2
89500,90,2
89000,93,2
89000,260,2
89000,115,2
89000,33,2
89000,4,2
89000,36,2
